title,artist_name,year,duration
Big Leg Woman Gets My Pay,Blind Boy Fuller,1991,162.29832
Bumbling Along,Nino Nardini,2001,33.20118
Cryin',Aerosmith,1993,308.76689
Silver Bells,Fontaine Sisters,2004,199.00036
Caviglia,The Mars Volta,2005,165.72036
Mean Streak,Y&T,1983,285.1522
We're Always Losing Blood,Evergreen Terrace,2009,241.44934
It Ain't No Use,Z.Z. Hill,1971,189.46567
Mad About the Boy,The Radio Dept,2006,207.20281
Mass Destruction,Faithless,2004,259.86567
Gut Rot,Fudge Tunnel,1991,235.7024
Kill Niggaz,Slick Rick,1999,169.69098
Breakin' Dishes,Rihanna,2007,199.6273
Chateau Strut,Doyle Bramhall,2007,235.59791
Check On It,Beyoncé feat. Slim Thug,2005,211.17342
Someday My Luck Will Change,"Clarence ""Gatemouth"" Brown",1995,333.37424
Lost,Roger Sanchez,2006,532.37506
Marie Marie,Wendo Kolosoy,1993,397.76608
Nothing But Sky [Outro] (Album Version),Jaci Velasquez,2008,62.27546
In The Midnight Hour,Cross Country,2009,193.64526
Ulan Bator Girls,Leningrad Cowboys,1996,195.5522
You Found Me,The Fray,2008,240.56118
Mississippi Boweavil Blues,Charley Patton,1929,191.11138
So Do I,Arthur Tracy,1993,165.642
King Of Pain,The Police,1983,318.01424
Any Wich Way (Freedom Must Come),Manjul,2005,226.21995
The Mystery Epoch,Loop Guru,2001,70.26893
Shine On Your Shoes,Jerry Lewis,1995,136.93342
Se Viene,Bersuit Vergarabat,1998,220.29016
Excerpt Of A Speech By Marcus Mosiah Garvey,Buju Banton,2003,56.842
Twist and Shout,The Shangri-Las,1964,164.80608
Crazy Mixed Up World,Faye Adams,1961,156.39465
James (Hold The Ladder Steady),SUE THOMPSON,1985,124.86485
Spanish Grease,Willie Bobo,1997,168.25424
¿Dónde va Chichi?,Sierra Maestra,1997,313.12934
Setting Fire to Sleeping Giants,The Dillinger Escape Plan,2004,207.77751
Do You Finally Need A Friend,Terry Callier,1972,342.56934
I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,2005,186.48771
It Makes No Difference Now,Billie Jo Spears,1992,133.32853
Christlike Roche,The Roches,1995,338.33751
In This Life,Cama,2009,210.36363
Medicate Myself,The Verve Pipe,2001,292.8322
They Say (Album),Jupiter Rising,2007,193.4624
Crawl Before You Ball (Album Version),Saafir,1999,234.762
Biding Her Time,Bob Neuwirth,1990,241.10975
Groovin' In The Midnight,Maxi Priest,1991,301.81832
White Feather,Wolfmother,2009,212.37506
Niev nietch nievitch,Les Ogres De Barback,1999,254.06649
Candy Man,Hot Tuna,1971,239.59465
I Can't Stop Loving You,Martina McBride,2005,261.95546
Little Girl (LP Version),Donny Hathaway,1971,283.21914
Thank You Lord,Horace Andy,1985,176.27383
On Bended Knee,Boyz II Men,1994,329.27302
President Johnson,Citizen Kaned,2000,385.33179
Lead Me Lord,The Brooklyn Tabernacle Choir,1995,324.44036
Mangos,Kai Winding,1961,223.4771
Openbare Weg,Mira,2006,177.81506
I Want You (Forever),Carl Cox Vs Yousef,1991,357.82485
WKYA (drop),Redman,2001,124.18567
Hate,Organized Konfusion,1997,198.3473
Quiero Ir Ao Mar,Carlos Nuñez,2005,215.35302
Set You Free This Time,Gene Clark,1998,168.38485
Nutty Block,Rodney O & Joe Cooley,1991,172.01587
Same Man,Till West & DJ Delicious,2006,153.28608
Until You Love Someone,Dean Martin,2005,165.66812
Part One From Triomusic,Strata,2004,377.67791
Hai Shava,Malkit Singh,1993,324.51873
Silent Hill,Moss,2009,329.35138
(We Don't Need This) Fascist Groove Thang,Heaven 17,1981,255.16363
Going Down Slow,Mance Lipscomb,2000,187.53261
Snowball,Test Icicles,2005,190.24934
Para Milladoiro,Susana Seivane,2010,350.71955
Inside Job,Pearl Jam,2006,428.56444
The Czar: Usurper/Escape/Martyr/Spiral (Album Version),Mastodon,2009,654.28853
Relax,2-4 Grooves feat. Reki D.,2009,203.83302
Born and Raised In Compton,DJ Quik,1991,205.58322
Orgofart,Descendents,1986,140.66893
Naked Albino,Bare Jr.,1998,254.79791
Bitch Is Back,L.A. Guns,1988,201.09016
Spaceman,The Killers,2008,284.3424
Exchange,Abraham Laboriel,1995,368.16934
Will You Love Me Tomorrow,The Shirelles,1960,159.76444
Soul Deep,The Box Tops,1969,148.03546
Pink World,Planet P Project,1984,269.81832
Face the Ashes,Gob,2007,209.60608
Something Girls,Adam Ant,1982,233.40363
Caught In A Dream,Tesla,2004,290.29832
Tonight Will Be Alright,Lionel Richie,1986,307.3824
Floating,Blue Rodeo,1987,491.12771
Cooler Than You,Diesel Boy,1998,124.15955
Summer Dying Fast,Cradle Of Filth,1994,321.35791
The Frail,Nine Inch Nails,1999,168.56771
Ukkosenjumalan poika,Moonsorrow,2001,356.49261
Kick Out The Jams,Rage Against The Machine,2000,201.56036
A B***** Is A B***** (Edited),N.W.A.,1989,168.75057
Murder Academy,Ultraviolence,1995,303.04608
Hey Daddy,Korn,1999,224.522
Never Forget Me,Bone Thugs-N-Harmony / Akon,2007,286.30159
Illuminate,Orbital,2001,327.8624
Amber Changing,Rise Against,2003,218.8273
Rosemary Recalls,Bruce Rowland,1985,84.03546
Wanna Be A Player,Heavy D / McGruff,1997,161.38404
Sudanese Dance,Xcultures,2000,273.52771
Entre Caníbales,Soda Stereo,1990,246.69995
Stickin In My Eye,NOFX,1992,144.50893
Certain Things We Do,Lost Boyz,1997,269.7922
Human Cannonball,Loudon Wainwright III,1995,190.48444
I Can't Be Satisfied,John Hammond,2002,195.3171
Cocain Ducks,Ec8or,1995,217.23383
Nashville Parthenon,Casiotone For The Painfully Alone,2006,175.72526
Glory Be,R.L. Burnside,2004,277.78567
Crossfire,Stevie Ray Vaughan,1992,248.78975
Human Being,The New York Dolls,1974,344.05832
Burning In The Aftermath,The Suicide Machines,2003,95.68608
The More I See You,Eliane Elias,2009,251.42812
Spin,Scarlet's Remains,2007,198.73914
Tous Les Garçons Et Les Filles,Eurythmics,1985,207.0722
Deform (live),The Berzerker,2000,165.61587
Spooks In Space,Perrey And Kingsley,1966,122.64444
Forming,The Germs,1977,206.05342
Driving Home For Christmas,Chris Rea,1986,241.162
Wicker Chair,Kings Of Leon,2003,187.92444
Too Much Saturn,Francis Dunnery,1995,300.79955
Movement 4 [from Kiss] (Album Version),John Cale,1997,228.46649
Christmas In Jamaica,Toni Braxton Featuring Shaggy,2001,219.01016
Lend Me Your Chopper,Johnny Osbourne,2004,215.30077
Mozart,Suzanne Ciani,1989,192.20853
The Vitalized Shell,Enthroned,2010,240.74404
Letter To Heaven,Dolly Parton,1971,155.21914
Gossippo Perpetuo,Perrey And Kingsley,2001,127.9473
Master Of Disharmony,Dimmu Borgir,1996,282.53995
Sun Is Shining,Deekline & Wizard,2004,271.77751
What Are We Here For,Gary Moore,1997,345.93914
Une petite pause,Pascal Sangla,2010,243.1473
Wig,The B-52's,1986,261.74649
(This Is Not A) Love Song (Live),Public Image Ltd,1983,388.28363
God Save the Queen (Live),Sex Pistols,1988,216.60689
Wounded Hearts,Sandi Thom,2008,205.21751
Poor Tom (Album Version),Led Zeppelin,1982,182.09914
Who Shot Ya (Amended Album Version),The Notorious B.I.G.,2007,316.65587
When Morning Comes To Town,The Field Mice,1989,316.73424
The Second Summer Of Love,Danny Wilson,1989,167.20934
Give It What U Got,SWAMI featuring Asuivre,2007,260.28363
Another Long One,Shawn Colvin,1989,224.60036
Isla del Luna,Lisa Lynne,1999,316.49914
Hoochie Coochie Man,The Jeff Healey Band,1989,313.7824
Oh My God,Sticky Fingaz,2000,266.4224
Let's Get It Started,Black Eyed Peas,2004,229.61587
I Never Came,Queens Of The Stone Age,2005,288.41751
Complicate It,Smartbomb,2001,233.27302
Indian Love Call,Slim Whitman,1990,195.91791
You Feel Good All Over,T.G. Sheppard,2002,194.11546
You Can Still Be Free,Savage Garden,1999,118.33424
Monde De Fou,Suburbs,2005,187.24526
It's My Party,Lesley Gore,1963,136.48934
Metal,Nine Inch Nails,2000,426.89261
Commercial Reign,Inspiral Carpets,1990,283.76771
Smile,Xcultures,2000,38.3473
Kite Live from Sydney,U2,2007,485.19791
Atmosphere Station,James Horner,1986,191.81669
Ever Be,Korn,2007,288.49587
Shadows That Move,Mastodon,2001,233.58649
Palmer enquête,Alexandre Desplat,2004,70.26893
Walk Away,Tantric,2009,177.24036
Te Hacen Falta Vitaminas,Soda Stereo,1984,225.12281
Waiting,Porcupine Tree,1997,416.80934
Hell,Foo Fighters,2005,117.002
I Got Over It (Album Version),Robben Ford,1988,203.98975
Have Yourself A Merry Little Christmas,Hem,2005,133.27628
(Bloody Paw On The) Kill Floor,Busdriver,2007,192.1824
The Cube (Live),S.U.P,2001,384.70485
Not Buried Deep Enough,The Gone Jackals,1995,229.79873
Miracle,Bizarre Inc,1996,420.10077
Inolvidable,Bebo & Cigala,2003,198.26893
I Wish My Mother Was Here,Byther Smith,1989,418.87302
Witch Weed (Live),Bongzilla,1999,397.26975
U Killed It,Lily Allen,2006,264.69832
The Last Word (Amended Version),Rah Digga (Featuring Outsidaz),2000,256.80934
Musical Episode,Horace Andy,2005,234.44853
Terapia De Amor Intensiva,Soda Stereo,1988,340.29669
Lies Of Hate,Soul Asylum,1998,279.2224
English Summer Rain,Placebo,2003,241.52771
Empress So Divine,Warrior King,2002,224.28689
Beautiful Brown eyes,Jimmy Wakely,2001,155.95057
Intro,Gertrudis,2009,106.52689
Hard Times,RUN-DMC,1984,234.65751
Jeffrey's Dark Side,Angelo Badalamenti,1987,109.37424
Myth Takes,!!!,2007,143.98649
Always And Never (Album Version),Silverstein,2005,229.642
Escapist,Nightwish,2007,301.06077
Pinned To The Ground (album version),Buzzhorn,2002,239.98649
Intro,40 Grit,2003,75.67628
The Ballad Of Sleeping Beauty,Sophie B. Hawkins,1994,305.162
Native Soul,Danilo Perez,2003,197.19791
Prognosis,Steve Morse,2000,363.85914
Harajuku Girls,Gwen Stefani,2004,290.55955
City Slickers,Marc Shaiman,2008,149.86404
Anti Geroi,Azis,2006,281.88689
The Hustle,The Pharcyde / Big Boy / Schmooche Cat / Randy Mack,1995,334.78485
Warrior's Quest,Ensiferum,1999,291.02975
Stronger Than Me,Amy Winehouse,2003,256.10404
Italian For Goodbye (skit),The Pharcyde,2004,11.59791
So Jah Seh,Jackie Edwards,2006,256.62649
Only For The Young,George Lopez,2009,345.23383
Daydreaming [Jakwob Remix],Kid Sister,2009,277.2371
Ease,Public Image Ltd,1985,492.30322
Complain,Ayo,2006,212.71465
Too much informa,Sizzla,2005,203.96363
So Hot,Helen Love,1994,81.97179
Everchanging,Rise Against,2001,260.8322
Let Me Show You [I Just Want To Make You Smile],Marcus Miller,1983,280.13669
Suffocating Under Words Of Sorrow (What Can I Do),Bullet For My Valentine,2005,215.53587
Tumba Tumba,Charanga Forever,2000,367.43791
Hex Breaker,Taint,2009,281.46893
The Melting Moon (Edit),VHS Or Beta,2004,224.20853
L'accordéoniste,Les Hurlements D'leo,1999,182.04689
Shooting Stars,Cauterize,2003,240.43057
The Cookie Bakers of the Night,Laurie Berkner,2001,233.45587
Crying Time,Commander Cody And His Lost Planet Airmen,1974,188.70812
Citizen Of The Planet,Simon & Garfunkel,2004,194.35057
Rollercoaster Ride,Aaron Watson,2008,217.39057
Turning Away,Mary Black,1999,293.92934
Panda Bear,Owl City,2007,187.6371
As Diehard As They Come (Album Version),Hatebreed,2006,136.95955
Now You Know,The Real Kids,1996,222.11873
A La Memoria Del Muerto,Fruko Y Sus Tesos,2004,261.90322
Reason With The Beast,Shriekback,2005,113.60608
Sayin' Dope,The Bucketheads,1995,365.71383
A New Hope,Blink-182,1997,225.12281
Mr. Prime Minister,Ms. Dynamite,2005,286.32771
Imagination,Hysterie,2005,389.642
This Is NOT a Crass Song,Anti-Flag,1999,359.6273
Something For The Pain,Robben Ford,2002,298.37016
Flashflood,Aesop Rock,2001,234.52689
Larger Than Life,Backstreet Boys,1999,236.25098
I Hold Your Hand In Mine [Live At Royal Albert Hall],Tiny Tim,2000,43.36281
Blessed Assurance,Glad,1993,270.602
Ten Tonne,Chase & Status,2005,337.68444
A Higher Place (Album Version),Tom Petty,1994,236.17261
Jenny Take a Ride,Mitch Ryder,2004,207.43791
No Unexpected Guests,John Frizzell,2002,133.19791
Dark Angel,Precious Bryant,2005,193.72363
Prvni vesela,Krystof,2006,262.55628
Crass Commercialism,Black Flag,1982,1030.19057
Trouble In The City,J.J. Cale,1983,202.94485
Taste Of Dis (Explicit Version),Brooke Valentine,2005,261.53751
Knocked Up,Kings Of Leon,2007,466.65098
Walls And Cannonballs (Album),Sister Hazel,2010,195.36934
Compulsory Resurrection,Abysmal Dawn,2008,250.3571
Into A Swan,Siouxsie,2007,234.55302
Party Til The Cows Come Home,Elvin Bishop,2005,254.56281
Just A Little Lovin' (Will Go A Long Way),Eddy Arnold,1967,166.16444
Quiet Time,Regina Belle,1993,307.33016
From The Blind (LP Version),Daath,2006,230.86975
Little Sister,Debbie Davies,1998,225.67138
L' Envers Du Décor,Richard Galliano,1999,261.74649
Shameless,All Time Low,2007,221.67465
Lake Of Dreams,Lisa Lynne,1998,298.10893
Mayday,Natural Elements,1998,338.1024
Because Of You,Neil Sedaka,1999,170.84036
Swallow The Knife (Live) (Segue),Story Of The Year,2005,75.57179
Doppelgänger [Qliphothic Phantasmagoria],Coph Nia,2000,658.02404
Tomorrow Gone,Stew,2003,179.9571
Ghost Town Rituals (Album Version),Nights Like These,2006,305.89342
Rattlesnake!,A Static Lullaby,2008,213.49832
Undertow,Jackson United,2008,204.93016
Courtyard,Bobbie Gentry,1968,177.57995
California Dreamin' (LP Version),Baby Huey & The Baby Sitters,1971,288.36526
Our Darkest Days,Eighteen Visions,2006,172.19873
Terra,Luar Na Lubre,2001,251.81995
Lonely Street,Boots Randolph,1963,150.20363
U Don't Hear Me Tho' (Street Mix),Rodney O & Joe Cooley,1993,217.41669
Don't Let Go,Weezer,2001,180.97587
Sahti Waari,Turisas,2004,146.59873
Negativ Song,Headliners,2006,169.56036
Drifting From Town To Town,Bobby Bland,2006,181.49832
Zolte Slonie,Kasia Stankiewicz,2006,304.06485
Nina Nina,Chéco Feliciano And Joe King,2006,273.65832
Ojos Gitanos,Cómplices,1991,307.56526
If You Love Me,Becky Baeling,2003,247.66649
Feelings,Shy FX & T Power,2005,380.44689
Still There For Me,Keb' Mo',2006,190.56281
Canta Brasil,Gal Costa,1981,193.35791
Ass Attack (Four Tet Remix),Hot Chip,2004,181.02812
Old Times Sake,Shelby Lynne,2005,290.97751
Eleanor Put Your Boots On,Franz Ferdinand,2005,195.13424
Sally In the Garden,Kathy Mattea,2008,44.64281
BYOB (Explicit Album Version),Yung Joc,2007,193.64526
Böse,Die Fantastischen Vier,1991,149.99465
Ven Morena,Orquesta Aragón,2003,173.68771
The Date (Remix By Ana Rago),Avril - Remix By Ana Rago,2002,188.39465
Bloody Pig Pile (Live),Dropkick Murphys,2002,196.72771
The Joes Mobilize,Alan Silvestri,2009,504.05832
Kashmiri Love Song,Rudolph Valentino,1992,184.73751
So Unhappy,Byther Smith,2004,269.7922
Ammonite,Zeromancer,2009,362.31791
San Cristobal,Dusminguet,2001,199.13098
If I Ruled The World,Regina Belle,2004,274.80771
Pero Me Acuerdo De Tí,Christina Aguilera,2000,266.73587
La Route Est Belle,Oztara,2005,207.51628
God Bless You (Goddamn it),A Static Lullaby,2005,237.42649
Urgence,Sonia Dersion,2004,269.87057
The Illusionist,Scar Symmetry,2006,271.5424
You Are My Memoir,Stars Like Fleas,2007,264.51546
Pienso En Ti,Shakira,1995,148.1922
Very Well,Wailing Souls,1979,214.38649
(I Heard That) Lonesome Whistle,Bobby Darin,1995,163.52608
Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05),Green Day,2005,340.79302
Volcán,KALIMBA,2009,352.67873
Lesson Learned,Alice In Chains,2009,256.522
Village Attack/ The Arrest,Kitaro,1993,81.50159
Here Comes The Hotstepper,Ini Kamoze,1995,248.92036
We're Back,DMX / Eve / Jadakiss,2003,265.22077
The Sweetest Curse,Baroness,2009,270.52363
What You Deserve (Album Version),Ill Nino,2006,180.50567
Slave To The Wage,Placebo,2000,246.96118
Get It For Free,Mötley Crüe,1999,254.01424
The Thrill Is Gone,Jude Taylor & His Burning Flames,1994,260.46649
Hit The Lights,Metallica,1982,252.3424
Closing Scene,The Radio Dept.,2007,256.02567
Un Tipo Como Yo,Willie Rosario,1999,281.41669
The Earth Will Shake,Thrice,2005,268.17261
All My Senses,Mando Diao,2004,251.03628
Ojos Así,Shakira,1998,409.99138
Like Dylan In The Movies,Belle and Sebastian,1996,250.69669
Runnin' Away,Eddie Money,1983,213.68118
Hunter,30 Seconds To Mars,2005,234.73587
MY CONSOLATION (LP Version),Silverstein,2006,242.83383
The Think Drink Theme,The Harvey Averne Dozen,1967,166.81751
Sleepwalker,Nightwish,2000,175.80363
Comme Toi (Live),Jean-Jacques Goldman,1991,327.65342
There Will Come A Day (Album Version),Faith Hill,2001,253.1522
Exiliado En El Lavabo,Estopa,1999,195.83955
Finding My Way,Stanley Clarke & George Duke,1990,339.09506
...and Heavens Cried Blood,Swallow The Sun,2009,377.75628
Tobacco Spit,Bare Jr.,1998,230.05995
Eu E Meu Coracao,João Gilberto,1991,312.05832
To Your Arms of Love,Jah Cure,2007,210.85995
Again,Janet Jackson,1993,227.082
Twerk (feat. Yo Majesty),Basement Jaxx,2009,210.20689
Africa,Dusminguet,1998,173.97506
Way Way Back,Kool Moe Dee,1987,272.8224
Metamorphosis,Amoral,2001,306.38975
Spanish Fly,Fudge Tunnel,1991,325.72036
Silent Night_ Holy Night! (Album Version),Faith Hill,2008,189.67465
Fortune Teller,The Rolling Stones,1963,116.92363
The Way I Loved You,Taylor Swift,2008,245.36771
Dysfunction,Liquid Soul,2000,285.28281
Sweet Contradiction,Aaron Watson,2008,257.35791
Sorrow's Call,Dave Eggar,1998,240.09098
Vogue [Live],Madonna,2006,330.94485
666lb. Bongsession,Bongzilla,2002,475.11465
The Reach,White Willow,2000,659.46077
Try Love,Sugar Minott,1977,290.35057
Weighed Down,Plump DJs,2003,304.45669
Tu Recuerdo,"Ricky Martin Feat. La Mari de ""Chambao",2008,247.87546
Perkiomen,Hall & Oates,1993,158.40608
This Guitar Says Sorry,Billy Bragg,1984,153.88689
The Hood Comes First (LP Version),Naughty By Nature,1993,216.60689
Lip Smacker,Poncho Sanchez,2004,372.37506
Dance Into The Light (LP Version),Phil Collins,1996,262.00771
Heavy Like Sunday,Leona Naess,2008,179.74812
Standing Knee Deep In a River (Dying Of Thirst),Kathy Mattea,1992,250.33098
Un Res Pyr,Roger Subirana,2002,288.07791
Se Puede Salir,Vilma E Vampiros Palma,1995,265.32526
Intro / Time For Some Action,N.E.R.D.,2008,222.6673
Trio (1932)_ Movement 3: Moderato,Strata,2004,409.83465
Still I'm Sad,Rainbow,1975,663.24853
Pantera Fans In Love,Nerf Herder,2000,200.04526
Walkin' Away,Hanoi Rocks,2007,236.35546
Going Down,Bryan Ferry,2002,188.18567
Dolorosa (Live),Cali,2006,339.80036
Girls All Pause,Kurupt,1999,207.98649
A Man Can Only Stand Just So Much Pain (Bonus Track),Tony Joe White,1970,152.842
Paul,Eminem,1999,13.58322
Liar in the Glass,Eyes Set to Kill,2006,238.05342
Hengähä tok,Esa Pakarinen,1990,200.202
Platoon Goons,Snowgoons,2009,257.25342
Looking For Clues,Robert Palmer,1980,299.78077
Night is the Notion,Dax Riggs,2007,158.51057
Ella Weez,Leroy Hutson,1974,181.55057
How Beautiful (Cry For The Desert Album Version),Twila Paris,1990,290.19383
Wicked Little Town (Album Version),Ben Jelen,2004,240.32608
Something About Mary,Wyclef Jean,2000,319.97342
The Wind (Tears For You),Cece Winans,1998,288.91383
Ooh Wee Baby,Doyle Bramhall,2007,252.36853
All das mag ich,ÄI-TIEM,1993,323.3171
(The Grave Prelude),Mobb Deep,1995,50.15465
Good Girls_ Bad Guys,DMX / Dyme,1999,233.40363
Losing Love (DJ Wout Remix),Milk Inc.,1999,430.65424
Boo Hoo,KT Tunstall,2005,308.63628
Don't Panic,Coldplay,1999,139.12771
Rock America,Danger Danger,1989,292.85832
Jack's Lament,The All American Rejects,2008,195.18649
Cadillac Walk (Album Version),Willy DeVille,2009,439.30077
What Goes Around...Comes Around,Justin Timberlake,2007,254.1971
Das Gelübde,Tresenlesen,1998,239.46404
Aguas Claras De Olimpos,Pescado Rabioso,1973,526.21016
Appapas Del Calabar,Los Van Van,1999,268.042
Two Hearts,Phil Collins,1988,204.19873
Mexican Joe,Jim Reeves,1990,157.6224
I Hope The Weather Stays Fine (Remix),The Dylans,1991,410.98404
Down in the Lowlands,Charlie Peacock,1986,298.70975
When A Man Is Wrong (Album Version),Seal,1998,258.63791
Exodus,Quincy Jones,1988,204.82567
Dogs,George Lopez,2003,297.22077
Cabide,Mart'nália,2006,157.07383
C30 C60 C90 Go,Bow Wow Wow,2003,182.9873
La Machine,Pascal Obispo,2006,246.56934
Harlem Nocturne,Les Brown,2007,172.87791
21st Century Time Bomb,Opiate For The Masses,2008,233.11628
Run's House,RUN-DMC,1988,201.82159
Spin (Album Version),Taking Back Sunday,2006,219.79383
Lose This Skin,The Clash,1980,308.50567
I Am Your Mother Too,Keb' Mo',2001,242.80771
Latinas,Flora Purim,1994,222.9024
The Kingdom - Titles,Danny Elfman,2007,269.7922
No Sympathy For Fools,Behemoth,2002,229.40689
Katie,Mary Black,1987,283.61098
Hidden Sun,Room 5,2003,403.01669
You Turn Me,Vickie Winans,2008,347.42812
Mosquito Coil,Zeromancer,2003,277.81179
Sacred,Moonspell,1997,313.46893
The Planet (Explicit),Gang Starr,1994,316.02893
Nomades Monades,Frederic Galliano,1997,1394.75546
Hold On Tight,Lambda,1996,180.79302
The Last Stand,Statues,2006,127.73832
Rain Love,Al Denson,1999,249.67791
He Who Breeds Pestilence,Behemoth,2009,341.2371
Nervous Breakdown,Nerf Herder,2002,167.44444
1987,2 Minutos,1997,64.39138
Folião Ausente,Spok Frevo Orquestra,2007,286.04036
Sympathy,Sylver,2004,170.50077
No,Hot Chip,2007,182.15138
Generation Aliens,Lizzy Borden,1986,268.40771
Building,Funeral For A Friend,2008,160.23465
Parto em terras distantes (2.ª versão),Brigada Victor Jara,1998,223.76444
Milk Cow Blues,Cliff Bruner,2004,188.31628
My Dear,Tha Liks featuring Defari,2001,233.92608
Realizer,The Crystal Method,2004,228.85832
Somebody Loan Me A Dime,Fenton Robinson,1990,263.73179
That's What You Said  (LP Version),Phil Collins,1996,260.96281
Summer Of Love,Novaspace,2004,356.23138
Light Of A Clear Blue Morning,Dolly Parton,1977,294.24281
Escuta_ Noel,Maysa,2003,176.37832
Can't Stop (Mind electric Remix),Cabin Crew,2009,194.97751
Caught In The Crossfire,April Wine,1981,214.43873
Manhã de Carnaval,Luiz Bonfa,1989,147.87873
Watermelon Man,Albert King,1968,244.27057
SOS,Rihanna,2006,244.50567
High-Speed French Train,Alexandre Desplat,2009,86.22975
Get Away,Rooney,2007,171.93751
Pimpin' Don't Fail Me Now [Featuring Jazze Pha and Juvenile] (Explicit Album Version),8Ball & MJG,2007,236.93016
Nevada's Grace (Album Version),Atreyu,2004,227.99628
Bedtime Story (Album Version),Madonna,1994,248.55465
Les Corps Glorieux: III. L'Ange aux parfums,Timothy Byram-Wigfield,2002,473.46893
Think About Me,Sister Hazel,1997,188.62975
Alone in Love,Craig Wedren,2005,155.27138
Fairground (+ Sample),Simply Red,1995,333.322
Stood Up,Floyd Cramer,1979,125.85751
The American Ruse (LP Version),The MC5,1970,149.96853
Fertile Crescent (bonus track),Bad Religion,1992,138.52689
Books & Books,The Almost,2009,210.59873
Voices Inside My Head,The Police,1980,233.45587
Fell In Love Today,Lee Michaels,1968,118.88281
Nehi Mamma Blues,Frank Stokes,1995,190.92853
Presenting The Eight Wonder Of The World,Max Steiner,1993,24.13669
Ultra-Funk,Los Amigos Invisibles,1998,218.67057
Les Femmes Des Autres,Jacques Dutronc,1969,192.33914
Underlying Lies,Scott Matthews,2009,325.48526
Touch You,Sandy Posey,1966,165.19791
You Make Me Feel Good ,JK,2003,361.16853
It's Alright,Graham Central Station,1975,229.27628
Wow,Snow Patrol,2003,242.05016
Black Diamond,Taking Dawn,2010,236.79955
Poem To A Horse,Shakira,2001,246.43873
Cerca & Extraño,Entre Ríos,2005,285.04771
Janice's Party,Fountains Of Wayne,2005,165.61587
Death Of Neira,Nightfall,2003,272.69179
TLFM (Toutes Les Femmes En Moi),Lara Fabian,2009,246.20363
Occasional Rain,Terry Callier,1972,243.04281
Endless Ocean,Event Horizon,2001,440.76363
Somebody's Someone,Lonestar,2004,263.49669
Lullaby,Dixie Chicks,2006,351.84281
Every Other Way,BT feat. JES,2010,550.97424
No One Hears You,Agnostic Front,2004,98.11546
Stranded In The Jungle,The New York Dolls,1974,245.68118
Career Suicide (CD),The Cliks,2009,199.78404
What's Wrong,Lost Boyz,1997,250.27873
Runnin' Through The Jungle - Shootin' The Blues,Willy DeVille,1996,227.81342
Hold Me While I Cry,Irma Thomas,2001,205.29587
Hear My Train A Comin',Jimi Hendrix,1989,449.74975
Ballade Des Oiseaux De Croix,Michèle Arnaud,1996,122.27873
Le mouton dans la baignoire,Michèle Bernard,2002,253.64853
Ninja Tattoo,Shanadoo,2006,200.88118
Drop Sacrifice,Liquid Stranger,2007,249.49506
Welcome 2 Detroit,Trick Trick / Eminem,2005,263.00036
Minha Namorada,Vinícius de Moraes,1965,243.53914
Got To Let You Go,Kim Wilson,2001,555.54567
Incide,Dark Fortress,2006,320.44363
Gotta Mind To Travel,Coco Montoya,1995,233.482
La Photo,Basement Jaxx,1999,240.01261
In My Life,Boyz II Men,2009,151.58812
Wait Til You See My Smile,Alicia Keys,2009,240.22159
Fish,Sportsguitar,1998,231.00036
Meet Me In The Bathroom,The Strokes,2003,177.18812
CHOKECHAIN (Amended Album Version),3OH!3,2008,211.66975
One Woman Man,Dave Hollister,2001,271.62077
Smile,Heavenly,1992,234.60526
They Came To Boston,Mighty Mighty Bosstones,1992,211.33016
Sanctuary,Sick Of It All,1999,109.00853
Two Heads One Pillow,Gerald Clayton,2009,384.15628
World Of Vibrations (Album Version),Blackalicious,2005,302.94159
Nie Wieder (Live Version),Pyranja,2006,167.54893
Fly High Michelle,Enuff Z 'Nuff,1989,277.28934
Verano traidor,Vilma Palma e Vampiros,1993,411.97669
Intensity In Ten Cities,Embrace the End,2008,247.48363
Caja De Cerillas,Johannes Linstead,2000,298.10893
Ronde Lune,Le Vangle,2006,258.2722
Pottajenkka,Elakelaiset,1996,218.27873
Locust Reign (Live in California),Converge,2003,99.99628
Anyway_ Anyhow_ Anywhere,The Who,1979,169.66485
Spann's Boogie,Otis Spann,1990,134.89587
Windpower (2009 Digital Remaster),Thomas Dolby,1982,259.18649
2 Minutos,2 Minutos,2006,83.12118
Adnans,Orbital,1999,521.56036
Me Falta El Aliento,Estopa,1999,226.5073
Fake Tales Of San Francisco,Arctic Monkeys,2004,177.94567
Baby I Need Your Loving,Delroy Wilson,1999,150.36036
Wish,Brian Littrell,2006,236.45995
Tunnel Vision,Finest Dearest,2008,294.00771
Idaho Red,Wade Ray,2005,135.78404
Is It Love,Gang Of Four,1983,273.99791
Guaguanco Raro,Richie Ray & Bobby Cruz,1970,418.53342
Mr. Brightside (Jacques Lu Cont's Thin White Duke Mix),The Killers,2005,527.98649
Group Sex,Circle Jerks,1980,63.52934
State of Emergency,Nick Jonas & The Administration,2010,214.72608
Breathe Me In,Candlebox,2008,312.842
Said You'd Be,The Panic Channel,2006,153.25995
Dream Baby Dream,Black Tambourine,2010,236.35546
Hillbillies From Outerspace,The Vaughan Brothers,1990,222.64118
